Method,Variant,SwapState,TPR,PPV,preprocess_seconds,model_seconds
MSstats+,V1_log2,post,0.867,0.88,291.3,10.2
MSstats,V1_log2,post,0.755,0.894,95,1227
limpa,V1_log2,post,,,,
MaxLFQ + limma,V1_log2,post,,,,
msqrob2,V1_log2,post,,,,
DEqMS,V1_log2,post,,,,
prolfqua,V1_log2,post,,,,
MSstats+,v2_vsn,post,,,,
MSstats,v2_vsn,post,,,,
limpa,v2_vsn,post,,,,
MaxLFQ + limma,v2_vsn,post,,,,
msqrob2,v2_vsn,post,,,,
DEqMS,v2_vsn,post,,,,
prolfqua,v2_vsn,post,,,,
MSstats+,v3_quantile,post,,,,
MSstats,v3_quantile,post,,,,
limpa,v3_quantile,post,,,,
MaxLFQ + limma,v3_quantile,post,,,,
msqrob2,v3_quantile,post,,,,
DEqMS,v3_quantile,post,,,,
prolfqua,v3_quantile,post,,,,
MSstats+,V1_log2,pre,,,,
MSstats,V1_log2,pre,,,,
limpa,V1_log2,pre,,,,
MaxLFQ + limma,V1_log2,pre,,,,
msqrob2,V1_log2,pre,,,,
DEqMS,V1_log2,pre,,,,
prolfqua,V1_log2,pre,,,,
MSstats+,v2_vsn,pre,,,,
MSstats,v2_vsn,pre,,,,
limpa,v2_vsn,pre,,,,
MaxLFQ + limma,v2_vsn,pre,,,,
msqrob2,v2_vsn,pre,,,,
DEqMS,v2_vsn,pre,,,,
prolfqua,v2_vsn,pre,,,,
MSstats+,v3_quantile,pre,,,,
MSstats,v3_quantile,pre,,,,
limpa,v3_quantile,pre,,,,
MaxLFQ + limma,v3_quantile,pre,,,,
msqrob2,v3_quantile,pre,,,,
DEqMS,v3_quantile,pre,,,,
prolfqua,v3_quantile,pre,,,,
